,title,Recommendation 1,Recommendation 2,Recommendation 3,Recommendation 4,Recommendation 5
-8248141950199177506,How We Migrated Data into Drupal from Four Different Sources Using the Migrate Module | Acquia,Lightning Distribution for Drupal: Build Advanced Authoring Experiences in Drupal 8,Coder | Drupal.org,Drupal 8 is 1 Year Old (AND YOU GET A PRIZE!),Cross-channel user experiences with Drupal,Meet Aquifer: A build system for easier Drupal development
-8244000618837043328,Futuro do mercado financeiro é tema de evento da Original Devs - Startupi,Kickstarter 3D printer will print circuit boards as part of your designs,SAMSUNG OCEAN - Novas turmas de treinamento de 2017 - Embarcados,Google's new translation software is almost as good as human translators,E os vencedores do Latam Founders Awards 2016 são... - Startupi,Number26 raises another $40 million for its vision for the future of banking
-8243488279185272615,"Elopar lança o ""Digio"", cartão para brigar com Nubank",Google e GFT firmam parceria para testes com foco em blockchain - Startupi,Visa lança desafio para startups de tecnologia - Startupi,Bradesco vai lançar novo banco digital: o Next.,Itaú é pioneiro do blockchain,Number26 raises another $40 million for its vision for the future of banking
-8222568914848295086,What Millennials Want from a New Job,"Three cultures, three continents and three lessons on leadership",O valor de seu trabalho de coaching vai depender de suas habilidades de acompanhamento - Harvard Business Review Brasil,O que você deve fazer para se tornar um líder melhor?,4 lessons we can learn from Denmark about happiness at work,Investimentos em coaching e mentoring aumentam nas empresas
-8208801367848627943,Ray Kurzweil: The world isn't getting worse - our information is getting better,So you want to sell to banks?,Time to Re-Think Design Thinking,How to Get a Job at Google,Stop Trying to Sound Smart When You're Writing,The Real Lesson for Data Science That is Demonstrated by Palantir's Struggles
-8204817396973648779,"curso de branding, diferenciação e estratégia de marca",Managing Machines at Spotify,Trooly is using machine learning to judge trustworthiness from digital footprints,SyntaxNet in context: Understanding Google's new TensorFlow NLP model | Blog,"Conheça Cris Grether, a diretora Global de Design que liderou, em Atlanta, a reformulação das embalagens de Coca-Cola",Designer Creates 13 Perfect Circles to Draw Almost Any Animal
-8193923078932592165,AWS Certified Solutions Architect Professional – Study Guide – Domain 1.0 – High Availability and Business Continuity (15%),AWS Certified Solutions Architect Professional – Study Guide – Domain 5.0: Data Storage for a complex large scale deployment,Achievement Unlocked : AWS Certified Solutions Architect Professional,UE não dá sossego ao Google. Novo alvo? O AdSense,AWS Certified Solutions Architect Professional – Study Guide – Domain 8.0: Cloud Migration and Hybrid Architecture (10%),How I Passed the AWS Solutions Architect Professional Exam
-8190931845319543363,Machine Learning Is At The Very Peak Of Its Hype Cycle - ARC,"Swarm A.I. Correctly Predicts the Kentucky Derby, Accurately Picking all Four Horses of the Superfecta at 540 to 1 Odds",Why Netflix thinks its personalized recommendation engine is worth $1 billion per year,"DARPA Goes ""Meta"" with Machine Learning for Machine Learning","How Google is Remaking Itself as a ""Machine Learning First"" Company - Backchannel",What readers think about computer-generated texts
-8189315446782327370,WWDC 2016 preview: How to watch &amp; what to expect at Apple's event on Monday,Ordering coffee in Italy: the 10 commandments,"AWS vs Packet.net Why we left AWS Benchmarking AWS's Network, Disk, and CPU Performance - Tiingo Thoughts",Joel on Software,To bot or not to bot,"Google Cloud Dataproc - the fast, easy and safe way to try Spark 2.0-preview | Google Cloud Big Data and Machine Learning Blog"
-8187220755213888616,Organizing for digital acceleration: Making a two-speed IT operating model work,"Fintechs can help incumbents, not just disrupt them",Why Deep Learning Is Suddenly Changing Your Life,Terms Aggregation in Elastic Search,2016 will be the year of conversational commerce - Chris Messina,O RH chega ao board
-8167536150098135304,Mycroft: The open source answer to natural language platforms,Microsoft's Open Source Love Affair Reaches New Heights,AI Revolution 101 - AI Revolution,Cognitive Services-Intelligence Applications | Microsoft Azure,It's The Future,How the queen of Silicon Valley is helping Google go after Amazon's most profitable business
-8159730897893673528,"Amazon still crushing cloud competition, says Gartner Magic Quadrant for IaaS - TechRepublic","There will be a Drupal 9, and here is why",WeChat's competitor to Slack has arrived,WeChat's world,Uber China will reportedly merge with archrival Didi Chuxing,"How I built an app with 500,000 users in 5 days on a $100 server"
-8158171393641147845,An MIT Algorithm Predicts the Future by Watching TV,To bot or not to bot,What Pinterest learned in two years working on its search engine,"Google Cloud Dataproc - the fast, easy and safe way to try Spark 2.0-preview | Google Cloud Big Data and Machine Learning Blog",Being A Developer After 40 - Free Code Camp,WWDC 2016 preview: How to watch &amp; what to expect at Apple's event on Monday
-8149429101569453081,Saying �� to Allo and Duo: new apps for smart messaging and video calling,SIG Combibloc lança campanha para Américas e consolida sua proposta de valor,Brazilian Government and Ericsson to innovate together for Internet of Things,Stay focused with Google Calendar event notifications in your browser,"PSA: iOS 9.3.5 fixes serious security exploit that exposed contacts, texts, calls, &amp; emails",Assista a entrevista de Linus Torvalds no TED legendada
-8145607370067359341,Docker Online Meetup #46: Introduction to InfraKit - Docker Blog,"Lava-louças Brastemp Ative! 8 Serviços Blf08abana 110v - R$ 800,00",Google is quietly making progress on one of its most jaw-dropping tech projects,Pixelated photos and licence plates can be unblurred using artificial intelligence,19 Tips For Everyday Git Use,Containers are not VMs
-8142426490949346803,A identidade visual de Budapeste para as Olimpíadas de 2024,Motion with Meaning: Semantic Animation in Interface Design,LOGOBR School | Behance Reviews Campinas 2016,"Facebook details its company-wide machine learning platform, FBLearner Flow",TAM recebe primeira aeronave com o design e pintura da LATAM e avança na implantação da nova marca!,"Margaret Gould Stewart: How giant websites design for you (and a billion others, too)"
-8099145207792678586,TechCrunch launches a personalized news recommendations bot on Facebook Messenger,Making open source data more available,The AI business landscape,"Hello, TensorFlow!",Deep learning software knows that a rose is a rose is a rosa rubiginosa,Tensorflow wins
-8085935119790093311,Graph Capabilities with the Elastic Stack,Graph-powered Machine Learning at Google,The emerging Darwinian approach to analytics and augmented intelligence,Google's Cloud Machine Learning service is now in public beta,Exclusive: Why Microsoft is betting its future on AI,Services | RaRe Technologies
-8052188270551570124,Google lança novos recursos para o Analytics,Que novas oportunidades poderemos criar com Blockchain? - CIO,A publicidade sem ROI acaba de morrer: adapte-se ou junte-se a ela - Meio & Mensagem,The next AI is no AI,Tendências do Marketing de Conteúdo 2016,Facebook says its new AI is almost as good as humans at understanding context
-8047634385511625486,The door for new contributors to Drupal is still locked,A plan for media management in Drupal 8,Lightning Distribution for Drupal: Build Advanced Authoring Experiences in Drupal 8,Dries Buytaert,The investment case for employing a Drupal core contributor - Dries Buytaert,"There will be a Drupal 9, and here is why"
-8043889175123948305,Dicas avançadas de ruby (capybara/cucumber),Top 5 Android Testing Frameworks with Examples,My Approach to Mobile Accessibility Testing - Ministry of Testing,"Espresso Intents: não é magia, é tecnologia! - Android Dev BR",Promoting gender equality through emoji �� ��,3 noções básicas essenciais para a criação de uma suíte de automação para aplicativos web
-8031358134051918098,Learn Microservices in Java - DZone - Refcardz,Taking Microservices Home - NGINX,Migrating to the New Java 8 Date Time API | Baeldung,Building Spring Cloud Microservices That Strangle Legacy Systems,"Tabs vs Spaces: How They Write Java at Google, Twitter, Mozilla and Pied Piper | Takipi Blog",Reactive log stream processing with RxJava - Part I
-8018192200278263695,Pão de Açúcar tem rombo de R$ 512 milhões com fraude em e-commerce,Facebook cria e-commerce para concorrer com eBay,Startups matam. E suas vítimas são as empresas que ainda não entendem o que é a Economia do Acesso,[Retro] Celebration Grids - Management 3.0,Visual Thinking and Learning 3.0 working together at Walmart.com | Happy Melly,Program your way to your next grocery delivery
-8018088591294066196,LOGOBR School | Behance Reviews Campinas 2016,Motion with Meaning: Semantic Animation in Interface Design,A identidade visual de Budapeste para as Olimpíadas de 2024,TAM recebe primeira aeronave com o design e pintura da LATAM e avança na implantação da nova marca!,Conheça as 10 profissões mais felizes e infelizes do mundo,Google made a huge change to the way Google Maps look
-8009527121402763559,Artificial Intelligence's White Guy Problem,The return of the machinery question,Clarifying the uses of artificial intelligence in the enterprise,Artificial intelligence is changing SEO faster than you think,"Introducing Cloud Natural Language API, Speech API open beta and our West Coast region expansion",7 Questions to Ask Before Your Next Digital Transformation
-7992053163122498177,World's Fastest Growing Open Source Platform Pushes Out New Release,The Business Case for Progressive Web Apps,Platform Overview,You're Asking Too Much of Chat Bots. Just Let Them Grow Up,10 Simple Habits of Insanely Productive People,Effective learning through code workshops | Box Blog
-7990179956144740367,Accenture Launches Content Studio,Accenture amplia atuação no Brasil,BEHOLD Amazon One - the first cargo airplane with that famous Amazon smile,O tênue equilíbrio da equipe que desenha produtos digitais,Nubank pode fechar as portas se BC confirmar mudança amanhã,"Forget Wallets, Check out This Serious FinTech Product Built in India: ZestMoney for Instant Credit"
-7986975759046428357,It's The Future,"Google admits original enterprise cloud strategy was wrong, why it's gone in a different direction - TechRepublic",The emerging Darwinian approach to analytics and augmented intelligence,Services | RaRe Technologies,What readers think about computer-generated texts,Google's Cloud Machine Learning service is now in public beta
-7959318068735027467,Auto-scaling scikit-learn with Spark,"At eBay, Machine Learning is Driving Innovative New Approaches to Search Experiences",How to choose algorithms for Microsoft Azure Machine Learning,10 Stats About Artificial Intelligence That Will Blow You Away -- The Motley Fool,"Deep Learning for Chatbots, Part 1 - Introduction","Facebook, Amazon, Google, IBM and Microsoft come together to create historic Partnership on AI"
